ReactionID	ReactionType	CatalystCoreDetail	CatalystCoreGeneric	Ligand	ReagentRaw	ReagentRole	Base	Solvent	Temperature_C	Time_h	Yield_%	ReactantSMILES	ProductSMILES	Reference	CondKey	CondSig	FamSig	RawCAS	RCTName	PROName	RGTName	CATName	SOLName	BASName
31-172-CAS-23127381	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""1"", ""1-Bis(diphenylphosphino)ferrocene""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	150.0	48.0	76	Brc1cccc(Br)c1 . CNc1ccccn1	CN(c1cccc(N(C)c2ccccn2)c1)c1ccccn1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/1+1-Bis(diphenylphosphino)ferrocene/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 57260-71-6 + 3035855-66-1 | PRO: 3035855-67-2 | RGT: 865-48-5 | CAT: 12150-46-8 + 51364-51-3 | SOL: 108-88-3	"[""57260-71-6"", ""3035855-66-1""]"	"[""3035855-67-2""]"	"[""865-48-5""]"	"[""12150-46-8"", ""51364-51-3""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23127637	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	75	BrCc1ccccc1Br . Cc1ccc(NN)cc1C	Cc1ccc(-n2cc3ccccc3n2)cc1C	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 37500-95-1 + 2766851-09-4 | PRO: 2766851-13-0 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""37500-95-1"", ""2766851-09-4""]"	"[""2766851-13-0""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23127767	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	61	NNc1ccc2ccccc2c1 . BrCc1ccccc1Br	c1ccc2cc(-n3cc4ccccc4n3)ccc2c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 2625443-63-0 | PRO: 2625445-03-4 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""2625443-63-0""]"	"[""2625445-03-4""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23128045	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""1"", ""1-Bis(diphenylphosphino)ferrocene""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	130.0	24.0	71	FC(F)(F)c1cc(Br)cc(Br)c1 . CNc1cc(OC)ccn1	COc1ccnc(N(C)c2cc(N(C)c3cc(OC)ccn3)cc(C(F)(F)F)c2)c1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/1+1-Bis(diphenylphosphino)ferrocene/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 385408-19-5 + 1491143-29-3 | PRO: 2925586-38-3 | RGT: 865-48-5 | CAT: 12150-46-8 + 51364-51-3 | SOL: 108-88-3	"[""385408-19-5"", ""1491143-29-3""]"	"[""2925586-38-3""]"	"[""865-48-5""]"	"[""12150-46-8"", ""51364-51-3""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23128184	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""7732-18-5"", ""Dimethyl sulfoxide"", ""Water""]"	120.0	10.0	53	NNc1ccccc1 . BrCc1ccccc1Br	c1ccc(-n2cc3ccccc3n2)cc1 . c1ccc(-n2ncc3ccccc32)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+7732-18-5+Dimethyl sulfoxide+Water			RCT: 108-86-1 + 934-32-7 | PRO: 21578-58-5 + 31413-80-6 + 43023-11-6 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5 + 7732-18-5	"[""108-86-1"", ""934-32-7""]"	"[""21578-58-5"", ""31413-80-6"", ""43023-11-6""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5"", ""7732-18-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23128517	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	68	BrCc1ccccc1Br . Cc1ccc(NN)cc1Cl	Cc1ccc(-n2cc3ccccc3n2)cc1Cl	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 74572-04-6 + 2417489-42-8 | PRO: 2417489-43-9 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""74572-04-6"", ""2417489-42-8""]"	"[""2417489-43-9""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23129004	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	77	BrCc1ccccc1Br . Cc1cc(C)cc(NN)c1	Cc1cc(C)cc(-n2cc3ccccc3n2)c1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 18940-21-1 + 2639638-51-8 | PRO: 3028304-60-8 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""18940-21-1"", ""2639638-51-8""]"	"[""3028304-60-8""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23129035	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""1"", ""1-Bis(diphenylphosphino)ferrocene""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	150.0	48.0	83	FC(F)(F)c1cc(Br)cc(Br)c1 . CNc1ccccn1	CN(c1cc(N(C)c2ccccn2)cc(C(F)(F)F)c1)c1ccccn1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/1+1-Bis(diphenylphosphino)ferrocene/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 623-08-5 + 33892-67-0 | PRO: 2604236-28-2 | RGT: 865-48-5 | CAT: 12150-46-8 + 51364-51-3 | SOL: 108-88-3	"[""623-08-5"", ""33892-67-0""]"	"[""2604236-28-2""]"	"[""865-48-5""]"	"[""12150-46-8"", ""51364-51-3""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23129123	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	52	NNc1ccccc1 . Fc1ccc(Br)c(CBr)c1	Fc1ccc2nn(-c3ccccc3)cc2c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 2387445-46-5 + 2387445-85-2 | PRO: 2387444-76-8 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""2387445-46-5"", ""2387445-85-2""]"	"[""2387444-76-8""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23129370	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	22.0	66	NNc1ccccc1 . BrCc1ccccc1I	c1ccc(-n2cc3ccccc3n2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 3012621-83-6 + 3049693-35-5 | PRO: 3049693-15-1 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""3012621-83-6"", ""3049693-35-5""]"	"[""3049693-15-1""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23129426	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	71	BrCc1ccccc1Br . CC(C)c1ccc(NN)cc1	CC(C)c1ccc(-n2cc3ccccc3n2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 110-89-4 + 118757-11-2 | PRO: 2987481-92-3 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""110-89-4"", ""118757-11-2""]"	"[""2987481-92-3""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23129851	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	73	Cc1ccc(NN)cc1 . BrCc1ccccc1Br	Cc1ccc(-n2cc3ccccc3n2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 57260-71-6 + 1628264-38-9 | PRO: 3035983-47-9 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""57260-71-6"", ""1628264-38-9""]"	"[""3035983-47-9""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
