ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RCTName,PROName,RGTName,CATName,SOLName
31-614-CAS-35838770,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,2.0,81,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 32779-36-5 + 70931-28-1 | PRO: 1294463-19-6 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""32779-36-5"", ""70931-28-1""]","[""1294463-19-6""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838775,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,4.0,79,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 591-17-3 + 675-20-7 | PRO: 78648-32-5 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""591-17-3"", ""675-20-7""]","[""78648-32-5""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838776,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,4.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 109-77-3 + 10282-57-2 | PRO: 1312710-99-8 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""109-77-3"", ""10282-57-2""]","[""1312710-99-8""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838783,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,3.0,93,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 123-75-1 + 62802-38-4 | PRO: 446286-61-9 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""Pyrrolidine"", ""62802-38-4""]","[""446286-61-9""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838784,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,4.0,84,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 591-50-4 + 136630-39-2 | PRO: 444796-09-2 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""591-50-4"", ""136630-39-2""]","[""444796-09-2""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838785,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""Potassium hydroxide""]","[""BASE""]","[""Dimethyl sulfoxide""]",100.0,10.0,78,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/Potassium hydroxide/Dimethyl sulfoxide,bc409fc2,bc409fc2,RCT: 100-63-0 + 141-97-9 + 109-77-3 + 1122-91-4 | PRO: 82805-69-4 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""100-63-0"", ""141-97-9"", ""109-77-3"", ""1122-91-4""]","[""82805-69-4""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-36318287,Ullmann,"[""S1)copper"", ""fac-Tris(2-(2-pyridinyl)phenyl)iridium""]","[""Cu"", ""Ir""]","[""4"", ""7-Diphenyl-1"", ""10-phenanthroline"", ""(2-Thiophenecarboxylato-O2""]",[],[],"[""1"", ""4-Dioxane""]",25.0,1.05,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu+Ir/(2-Thiophenecarboxylato-O2+10-phenanthroline+4+7-Diphenyl-1/none/1+4-Dioxane,915547f3,915547f3,RCT: 109-04-6 + 103012-26-6 | PRO: 2059135-46-3 | CAT: 1662-01-7 + 68986-76-5 + 94928-86-6 | SOL: 123-91-1,"[""109-04-6"", ""103012-26-6""]","[""2059135-46-3""]",[],"[""Unresolved CAS 1662-01-7"", ""Unresolved CAS 68986-76-5"", ""Unresolved CAS 94928-86-6""]","[""1,4-Dioxane""]"
31-614-CAS-38062404,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,88,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 288-13-1 + 5957-85-7 | PRO: 3055343-72-8 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""288-13-1"", ""5957-85-7""]","[""3055343-72-8""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062405,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,86,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 19829-31-3 + 63074-07-7 | PRO: 3047760-41-5 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""19829-31-3"", ""63074-07-7""]","[""3047760-41-5""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062407,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 111-42-2 + 591-50-4 | PRO: 120-07-0 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""111-42-2"", ""591-50-4""]","[""120-07-0""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062413,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 20154-03-4 + 2923758-60-3 | PRO: 2923758-61-4 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""20154-03-4"", ""2923758-60-3""]","[""2923758-61-4""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062416,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,94,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 580-13-2 + 13349-82-1 | PRO: 3047760-88-0 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""580-13-2"", ""13349-82-1""]","[""3047760-88-0""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062418,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,96,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 103-88-8 + 13349-82-1 | PRO: 3047760-87-9 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""103-88-8"", ""13349-82-1""]","[""3047760-87-9""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062419,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,91,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 126-81-8 + 878109-23-0 | PRO: 2887927-31-1 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""126-81-8"", ""878109-23-0""]","[""2887927-31-1""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062420,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,90,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 105-56-6 + 10278-30-5 | PRO: 2999684-24-9 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""105-56-6"", ""10278-30-5""]","[""2999684-24-9""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062421,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,95,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 573-17-1 + 103003-01-6 | PRO: 3047760-82-4 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""573-17-1"", ""103003-01-6""]","[""3047760-82-4""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062422,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,91,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 126-81-8 + 571165-08-7 | PRO: 2999684-21-6 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""126-81-8"", ""571165-08-7""]","[""2999684-21-6""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062423,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,92,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 111-49-9 + 124405-67-0 | PRO: 1863643-13-3 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""111-49-9"", ""124405-67-0""]","[""1863643-13-3""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062424,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,91,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 110-91-8 + 766-84-7 | PRO: 204078-31-9 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""110-91-8"", ""766-84-7""]","[""204078-31-9""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062425,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,76,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 258-17-3 + 591-50-4 | PRO: 1427400-41-6 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""258-17-3"", ""591-50-4""]","[""1427400-41-6""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062426,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",110.0,12.0,91,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 110-91-8 + 62802-38-4 | PRO: 84539-22-0 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""110-91-8"", ""62802-38-4""]","[""84539-22-0""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
31-614-CAS-38062427,Ullmann,"[""Cuprous iodide""]","[""Cu(I)""]","[""2999684-17-0""]","[""Cesium carbonate""]","[""BASE""]","[""Dimethylformamide""]",90.0,12.0,94,,,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(I)/2999684-17-0/Cesium carbonate/Dimethylformamide,bd3e10f1,bd3e10f1,RCT: 100-52-7 + 62142-03-4 | PRO: 355153-78-5 | RGT: 534-17-8 | CAT: 7681-65-4 + 2999684-17-0 | SOL: 68-12-2,"[""100-52-7"", ""62142-03-4""]","[""355153-78-5""]","[""Cesium carbonate (Cs2CO3)""]","[""Copper(I) iodide (CuI)"", ""Unresolved CAS 2999684-17-0""]","[""DMF""]"
