record_index,RXN:VAR(1):CAS_Reaction_Number,RXN:RCT(1):CAS_RN,RXN:RCT(2):CAS_RN,RXN:RCT(3):CAS_RN,RXN:RCT(4):CAS_RN,RXN:PRO(1):CAS_RN,RXN:VAR(1):PRO(1):YIELD,RXN:VAR(1):REFERENCE(1):AUTHOR,RXN:VAR(1):REFERENCE(1):TITLE,RXN:VAR(1):REFERENCE(1):CITATION,RXN:VAR(1):NOTES,RXN:VAR(1):CAT(1):CAS_RN,RXN:VAR(1):CAT(2):CAS_RN,RXN:VAR(1):CAT(3):CAS_RN,RXN:VAR(1):CAT(4):CAS_RN,RXN:VAR(1):RGT(1):CAS_RN,RXN:VAR(1):RGT(2):CAS_RN,RXN:VAR(1):RGT(3):CAS_RN,RXN:VAR(1):RGT(4):CAS_RN,RXN:VAR(1):RGT(5):CAS_RN,RXN:VAR(1):RGT(6):CAS_RN,RXN:VAR(1):SOL(1):CAS_RN,RXN:VAR(1):SOL(2):CAS_RN,RXN:VAR(1):SOL(3):CAS_RN,RXN:VAR(1):SOL(4):CAS_RN,RXN:VAR(1):SOL(5):CAS_RN,yield_percent,year
11,31-614-CAS-35422541,3490-06-0,34259-99-9,,,2898500-43-9,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
12,31-614-CAS-35422566,110-89-4,2898500-39-3,,,2898500-59-7,100,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","thermal, sealed Schlenk tube used",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,100,2023.0
13,31-614-CAS-41624313,108-86-1,177-11-7,,,198649-62-6,100,"Tanaka, Naoki; Fukuda, Takeshi; Takano, Rieko; Sasaki, Koji; Tsuji,",Discovery of DS-1093a: An oral hypoxia-inducible factor prolyl,"Bioorganic & Medicinal Chemistry Letters (2024), 111129891",Buchwald-Hartwig coupling,52522-40-4,657408-07-6,,,865-48-5,,,,,,108-88-3,,,,,100,2024.0
14,31-614-CAS-43750827,460-00-4,57260-71-6,,,141940-39-8,100,"Lee, Sujin; Jung, Sunhwa; Hyeon, Suyeon; Kim, Kyungmin; Min, Sun-Joon",DDQ-catalyzed oxidative α-allylation of isochromans under aerobic,"RSC Advances (2024), 14(53), 39645-39652",,51364-51-3,787618-22-8,,,865-48-5,,,,,,108-88-3,,,,,100,2024.0
15,31-614-CAS-36215347,2922795-70-6,,,,2923067-13-2,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 88",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
16,31-614-CAS-36215350,2922795-79-5,,,,2923067-22-3,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 2",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
17,31-614-CAS-36215340,2922795-67-1,,,,2923067-10-9,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 80",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
18,31-614-CAS-41194334,110-89-4,3052233-38-9,,,3052232-64-8,99,"Chen, Jia-Wei; Ji, Wen-Jun; Huang, Xue-Ying; Ge, Danhua; Shen, Zhi-Liang;","Chemo-, regio-, and stereoselective tetrafunctionalization of","Chemical Science (2024), 15(30), 12026-12035",Buchwald-Hartwig coupling,3375-31-3,564483-18-7,,,865-48-5,12125-02-9,,,,,108-88-3,7732-18-5,,,,99,2024.0
19,31-614-CAS-36215348,2922795-68-2,,,,2923067-11-0,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 82",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
20,31-614-CAS-36215343,2922795-71-7,,,,2923067-14-3,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 67,",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
21,31-614-CAS-36215334,2922795-63-7,,,,2923067-06-3,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 94",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
22,31-614-CAS-42014408,91-58-7,100-61-8,,,6364-05-2,99,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",3375-31-3,3058377-30-0,,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,99,2024.0
23,31-614-CAS-38969974,95-50-1,117531-35-8,,,3026215-50-6,99,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,99,2024.0
24,31-614-CAS-36215335,2922795-61-5,,,,2923067-04-1,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 90",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
25,31-614-CAS-36215357,2922795-77-3,,,,2923067-20-1,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 60",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
26,31-614-CAS-36215333,2922795-59-1,,,,2923067-02-9,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 93",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
27,31-614-CAS-36215355,2922795-78-4,,,,2923067-21-2,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 4",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
28,31-614-CAS-35422494,110-89-4,34259-99-9,,,69096-74-8,99,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","scalable, optimization study, sealed Schlenk tube used, optimized on",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,99,2023.0
29,31-614-CAS-36215341,2922795-66-0,,,,2923067-09-6,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 95",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
30,31-614-CAS-38969959,95-50-1,500301-56-4,,,3026215-46-0,99,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,99,2024.0
31,31-614-CAS-35422516,91-21-4,56616-91-2,,,2898499-35-7,99,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,99,2023.0
32,31-614-CAS-38969973,95-50-1,22774-78-3,,,3026215-52-8,99,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,99,2024.0
33,31-614-CAS-36215328,2922795-54-6,,,,2640665-03-6,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 94",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
34,31-614-CAS-36215356,2922795-72-8,,,,2923067-15-4,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 60,",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
35,31-614-CAS-38715686,100-61-8,459-57-4,,,16547-13-0,99,"Yin, Xiaogang; Zhu, Qiudi; Tan, Youjuan; Long, Siyu; Huang, Yu; Li, Yan;",Highly dispersed and stable Pd nano-catalyst loaded on chitosan,"Applied Surface Science (2024), 648159047","catalyst prepared and used, catalyst was recycled for five times,",7440-05-3,9012-76-4,,,1333-74-0,,,,,,108-88-3,,,,,99,2024.0
36,31-614-CAS-42014401,100-61-8,18368-63-3,,,108898-61-9,99,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","thermal (thermal process (stage 2)), Buchwald-Hartwig amination, catalyst",98-80-6,3375-31-3,3058377-30-0,,865-48-5,,,,,,75-09-2,108-88-3,7732-18-5,,,99,2024.0
37,31-614-CAS-41071018,692279-78-0,3050665-10-3,,,3080208-47-2,99,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 92% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,99,2024.0
38,31-614-CAS-36215346,2922795-74-0,,,,2923067-17-6,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 86",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
39,31-614-CAS-42014414,122-39-4,3972-56-3,,,36809-23-1,99,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","thermal (thermal process (stage 2)), Buchwald-Hartwig amination, catalyst",98-80-6,3375-31-3,3058377-30-0,,865-48-5,,,,,,75-09-2,108-88-3,7732-18-5,,,99,2024.0
40,31-614-CAS-36215326,2922795-51-3,,,,2923066-97-9,99,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 92",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,99,2023.0
41,31-614-CAS-38030208,109-09-1,110-91-8,,,24255-25-2,99,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,99,2023.0
42,31-614-CAS-41860667,122-39-4,66788-13-4,,,3054805-01-2,98,"Wu, Lin; Huang, Zhongyan; Miao, Jingsheng; Wang, Shuni; Li, Xinyao; Li,",Orienting Group Directed Cascade Borylation for Efficient One-Shot,"Angewandte Chemie, International Edition (2024), 63(18), e202402020",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,98,2024.0
43,31-614-CAS-37167472,32231-06-4,2954861-80-2,,,2954861-95-9,98,"Pan, Bendu; Qian, Xu; Zhang, Yaqi; Jiang, Long; Cao, Rihui; Qiu, Liqin",Iridium-Catalyzed Intramolecular Asymmetric Allylic Etherification of,"Organic Letters (2023), 25(29), 5498-5503","Schlenk tube used, ee 98%",2585661-86-3,,,,865-48-5,,,,,,110-71-4,,,,,98,2023.0
44,31-614-CAS-40129197,3036635-67-0,,,,3047886-75-6,98,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 95% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,98,2023.0
45,31-614-CAS-36215321,2922795-56-8,,,,2923066-99-1,98,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 83",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,98,2023.0
46,31-614-CAS-35203615,92-84-2,106-38-7,,,92740-87-9,98,"Gao, Mingxue; Tian, Yu; Li, Xiaoning; Gong, Yanxiang; Fang, Manman; Yang,","The Effect of Molecular Conformations and Simulated ""Self-Doping"" in","Angewandte Chemie, International Edition (2023), 62(5), e202214908",Schlenk tube used,3375-31-3,,,,865-47-4,13716-12-6,,,,,108-88-3,,,,,98,2023.0
47,31-614-CAS-38030244,123-75-1,615-20-3,,,19983-29-0,98,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,98,2023.0
48,31-614-CAS-35422520,3970-68-1,15803-02-8,,,2898499-60-8,98,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, thermal in stage 2",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,98,2023.0
49,31-614-CAS-38030246,110-89-4,615-20-3,,,2851-08-3,98,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,98,2023.0
50,31-614-CAS-38030209,110-91-8,1448-87-9,,,34548-25-9,98,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,98,2023.0
51,31-614-CAS-41472203,100-61-8,328-70-1,,,2377458-96-1,98,"Zhu, Mengqi; Wang, Qiao-Lin; Huang, Huawen; Mao, Guojiang; Deng, Guo-Jun",General Defluoroalkylation of Trifluoromethylarenes with Both,"Journal of Organic Chemistry (2024), 89(17), 12591-12609",Schlenk tube used,3375-31-3,76189-55-4,,,534-17-8,,,,,,108-88-3,,,,,98,2024.0
52,31-614-CAS-37628851,122-39-4,2987179-64-4,,,2987179-66-6,98,"Gon, Masayuki; Yaegashi, Misao; Tanaka, Kazuo",Enhancement of Near-Infrared Emission Based on Hypervalent,"Bulletin of the Chemical Society of Japan (2023), 96(8), 778-784",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,98,2023.0
53,31-614-CAS-36215315,2922795-49-9,,,,2640664-97-5,98,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 95,",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,98,2023.0
54,31-614-CAS-36748986,18368-63-3,57260-71-6,,,127188-33-4,98,"Oboh, Edmund; Teixeira, Jose E.; Schubert, Tanner J.; Maribona, Adriana",Structure-Activity relationships of replacements for the,"Bioorganic & Medicinal Chemistry (2023), 86117295",sealed flask used,51364-51-3,787618-22-8,,,865-48-5,,,,,,123-91-1,,,,,98,2023.0
55,31-614-CAS-38030206,110-91-8,3034-52-4,,,21429-06-1,98,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,98,2023.0
56,31-614-CAS-35114293,122-39-4,90-11-9,,,61231-45-6,98,"Dewanji, Abhishek; van Dalsen, Leendert; Rossi-Ashton, James A.; Gasson,",A general arene C-H functionalization strategy via electron,"Nature Chemistry (2023), 15(1), 43-52",,51364-51-3,,,,865-47-4,13716-12-6,,,,,108-88-3,,,,,98,2023.0
57,31-614-CAS-42014430,100-61-8,1207-69-8,,,90072-82-5,98,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",98-80-6,3375-31-3,3058377-30-0,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,98,2024.0
58,31-614-CAS-39567741,91-21-4,109-04-6,,,380500-15-2,98,"Gerard, Phideline; Guissart, Celine; Evano, Gwilherm",Copper-catalyzed direct α-peroxidation of nitrogen heterocycles,"ARKIVOC (Gainesville, FL, United States) (2024), (5), 202312154","Buchwald-Hartwig cross coupling, reaction in a pressure tube",26386-88-9,51364-51-3,,,865-48-5,,,,,,108-88-3,,,,,98,2024.0
59,31-614-CAS-38030214,110-91-8,626-60-8,,,92670-29-6,98,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,98,2023.0
60,31-614-CAS-39194511,2556666-81-8,2647910-23-2,,,3033295-17-6,98,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 96%), thermal, Catellani reaction, sealed vial used",3375-31-3,5518-52-5,2248160-18-9,,584-08-7,,,,,,109-99-9,,,,,98,2024.0
